M015,20092010,0-t,0-a,3-b,5-h,0-wh,5-male,4-f
M015,20112012,0-t,0-a,3-b,5-h,0-wh,5-male,4-f
M019,20092010,0-t,1-a,2-b,4-h,1-wh,4-male,5-f
M019,20112012,0-t,1-a,2-b,4-h,0-wh,4-male,5-f
M020,20092010,1-t,2-a,0-b,5-h,0-wh,5-male,4-f
M020,20112012,1-t,3-a,0-b,5-h,0-wh,5-male,4-f
M034,20092010,0-t,0-a,2-b,6-h,0-wh,5-male,4-f
M034,20112012,0-t,0-a,2-b,6-h,0-wh,5-male,4-f
M063,20092010,0-t,1-a,1-b,6-h,0-wh,6-male,3-f
M063,20112012,0-t,0-a,2-b,6-h,0-wh,5-male,4-f
M064,20092010,0-t,0-a,2-b,6-h,0-wh,5-male,4-f
M064,20112012,0-t,0-a,2-b,5-h,0-wh,5-male,4-f
M110,20092010,0-t,1-a,1-b,4-h,1-wh,4-male,5-f
M110,20112012,0-t,1-a,1-b,4-h,2-wh,4-male,5-f
M134,20092010,0-t,2-a,1-b,5-h,0-wh,4-male,5-f
M134,20112012,0-t,2-a,2-b,4-h,0-wh,4-male,5-f
M137,20092010,0-t,1-a,2-b,5-h,0-wh,4-male,5-f
M137,20112012,0-t,1-a,2-b,5-h,0-wh,4-male,5-f
M140,20092010,0-t,0-a,1-b,7-h,0-wh,5-male,4-f
M140,20112012,0-t,0-a,1-b,7-h,0-wh,5-male,4-f
M142,20092010,0-t,0-a,1-b,7-h,0-wh,4-male,5-f
M142,20112012,0-t,0-a,1-b,7-h,0-wh,4-male,5-f
M184,20092010,1-t,8-a,0-b,0-h,0-wh,5-male,4-f
M184,20112012,1-t,8-a,0-b,0-h,0-wh,4-male,5-f
M188,20092010,0-t,0-a,3-b,6-h,0-wh,4-male,5-f
M188,20112012,0-t,0-a,2-b,6-h,0-wh,5-male,4-f
M292,20092010,1-t,1-a,2-b,5-h,0-wh,5-male,4-f
M292,20112012,0-t,1-a,2-b,5-h,0-wh,6-male,3-f
M301,20092010,0-t,1-a,2-b,5-h,0-wh,5-male,4-f
M301,20112012,0-t,1-a,2-b,5-h,0-wh,5-male,4-f
M315,20092010,0-t,1-a,1-b,2-h,3-wh,5-male,4-f
M315,20112012,0-t,1-a,1-b,2-h,4-wh,5-male,4-f
M332,20092010,0-t,0-a,2-b,6-h,0-wh,5-male,4-f
M332,20112012,0-t,0-a,2-b,7-h,0-wh,6-male,3-f
M345,20092010,0-t,1-a,1-b,6-h,0-wh,5-male,4-f
M345,20112012,0-t,1-a,2-b,6-h,0-wh,5-male,4-f
M361,20092010,0-t,1-a,1-b,3-h,3-wh,4-male,5-f
M361,20112012,0-t,1-a,1-b,3-h,4-wh,4-male,5-f
M363,20092010,0-t,1-a,1-b,2-h,3-wh,5-male,4-f
M363,20112012,0-t,1-a,1-b,2-h,4-wh,4-male,5-f
M364,20092010,0-t,1-a,1-b,3-h,3-wh,5-male,4-f
M364,20112012,0-t,0-a,0-b,3-h,3-wh,5-male,4-f
M378,20092010,0-t,0-a,1-b,6-h,0-wh,4-male,5-f
M378,20112012,0-t,0-a,1-b,6-h,0-wh,5-male,4-f
M448,20092010,1-t,1-a,2-b,4-h,0-wh,5-male,4-f
M448,20112012,0-t,2-a,2-b,4-h,0-wh,5-male,4-f
M450,20092010,1-t,0-a,2-b,5-h,0-wh,5-male,4-f
M450,20112012,1-t,0-a,2-b,5-h,1-wh,5-male,4-f
M458,20112012,0-t,0-a,3-b,5-h,0-wh,4-male,5-f
M509,20092010,0-t,1-a,1-b,6-h,0-wh,5-male,4-f
M509,20112012,0-t,0-a,3-b,5-h,0-wh,4-male,5-f
M515,20092010,1-t,9-a,0-b,0-h,0-wh,5-male,4-f
M515,20112012,1-t,8-a,0-b,0-h,0-wh,5-male,4-f
M539,20092010,2-t,2-a,1-b,1-h,4-wh,4-male,5-f
M539,20112012,3-t,2-a,1-b,1-h,4-wh,4-male,5-f
M650,20092010,0-t,0-a,3-b,5-h,0-wh,3-male,6-f
M650,20112012,0-t,0-a,4-b,4-h,0-wh,3-male,6-f
M696,20092010,1-t,1-a,1-b,1-h,4-wh,3-male,6-f
M696,20112012,1-t,1-a,1-b,1-h,4-wh,3-male,6-f
M839,20092010,0-t,2-a,1-b,4-h,1-wh,5-male,4-f
M839,20112012,0-t,2-a,1-b,4-h,1-wh,4-male,5-f
M001,20092010,1-t,7-a,1-b,1-h,0-wh,5-male,4-f
M001,20112012,1-t,7-a,1-b,1-h,0-wh,5-male,4-f
M002,20092010,1-t,8-a,0-b,0-h,0-wh,5-male,4-f
M002,20112012,1-t,8-a,0-b,0-h,0-wh,5-male,4-f
